potential,current,current_filtered_50Hz,current_filtered_60Hz,basecurrent_4
-544.8125,-4.332860827389657e-08,-4.071979455932031e-08,-4.1822098051923636e-08,3.012427246929254e-08
-545.3125,-4.507383248096693e-08,-4.145778736316238e-08,-4.244327138031165e-08,3.01453991914939e-08
-545.8125,-4.4879918680181336e-08,-4.1003538084770375e-08,-4.2150706053206835e-08,3.016653259959281e-08
-546.3125,-4.451354875328725e-08,-4.1190329063298014e-08,-4.2317545954495414e-08,3.018767267294338e-08
-546.8125,-4.43546030149384e-08,-4.123288771351592e-08,-4.204461758765986e-08,3.0208819390907804e-08
-547.3125,-4.3065553076929216e-08,-4.104968771293393e-08,-4.17027358995621e-08,3.0229972732856404e-08
-547.8125,-4.1980748412698324e-08,-4.127333954123849e-08,-4.1553859527334365e-08,3.025113267816758e-08
-548.3125,-4.094839584212253e-08,-4.096187396252602e-08,-4.093539674813177e-08,3.0272299206227834e-08
-548.8125,-4.00749890098956e-08,-4.141344707813149e-08,-4.0947694894873685e-08,3.0293472296431776e-08
-549.3125,-3.8350427748810586e-08,-4.086120264490584e-08,-4.0293225018201234e-08,3.031465192818212e-08
-549.8125,-3.8677855969809216e-08,-4.14561829960441e-08,-4.0378731858072577e-08,3.033583808088967e-08
-550.3125,-3.7274365100188864e-08,-4.0983975952385496e-08,-3.995353555806915e-08,3.0357030733973333e-08
-550.8125,-3.736099052758898e-08,-4.1213991095113774e-08,-4.009206999317353e-08,3.037822986686013e-08
-551.3125,-3.811757224212951e-08,-4.1245967475942185e-08,-4.011824428707573e-08,3.0399435458985154e-08
-551.8125,-3.814459301764882e-08,-4.1062456434105206e-08,-4.025657847129767e-08,3.0420647489791635e-08
-552.3125,-3.9366885745551476e-08,-4.132745140996927e-08,-4.068253046255972e-08,3.044186593873088e-08
-552.8125,-4.0266518624605964e-08,-4.104612951446808e-08,-4.0750982091756266e-08,3.04630907852623e-08
-553.3125,-4.121145103908988e-08,-4.135789759675555e-08,-4.139326759004487e-08,3.048432200885341e-08
-553.8125,-4.220565663246194e-08,-4.091467045834837e-08,-4.1402210579586784e-08,3.050555958897983e-08
-554.3125,-4.4022406421789287e-08,-4.144272857841829e-08,-4.2018390646207316e-08,3.052680350512527e-08
-554.8125,-4.362901571937589e-08,-4.094561405581224e-08,-4.198512908080687e-08,3.054805373678155e-08
-555.3125,-4.4890250153174024e-08,-4.130789320674438e-08,-4.2355131326745854e-08,3.056931026344858e-08
-555.8125,-4.5173968296126716e-08,-4.123622105690741e-08,-4.2286192527913206e-08,3.059057306463438e-08
-556.3125,-4.430215092128328e-08,-4.106497635896136e-08,-4.2269076780425007e-08,3.0611842119855075e-08
-556.8125,-4.4403876193826535e-08,-4.129742705978576e-08,-4.211242028930285e-08,3.063311740863489e-08
-557.3125,-4.307906346468888e-08,-4.109835383906981e-08,-4.172105219444065e-08,3.065439891050612e-08
-557.8125,-4.1748687634708993e-08,-4.119123995757762e-08,-4.155803167849777e-08,3.067568660500921e-08
-558.3125,-4.124721383021837e-08,-4.1174668297130896e-08,-4.102015512206432e-08,3.069698047169268e-08
-558.8125,-4.010757288625712e-08,-4.134864890329947e-08,-4.0952103925541934e-08,3.0718280490113136e-08
-559.3125,-3.861984077531188e-08,-4.099029582020713e-08,-4.039138042600528e-08,3.073958663983531e-08
-559.8125,-3.87207713191634e-08,-4.147212030344465e-08,-4.037401594950665e-08,3.076089890043202e-08
-560.3125,-3.7113829904456526e-08,-4.094735079311402e-08,-3.996813272989043e-08,3.07822172514842e-08
-560.8125,-3.737450091534864e-08,-4.12652189296896e-08,-4.0098705178935706e-08,3.080354167258087e-08
-561.3125,-3.7937168829103574e-08,-4.122228533301766e-08,-4.010129661316289e-08,3.0824872143319164e-08
-561.8125,-3.819386619653696e-08,-4.112037303373763e-08,-4.034941156113505e-08,3.084620864330429e-08
-562.3125,-3.9637093500744517e-08,-4.133932298450877e-08,-4.066037293350668e-08,3.086755115214959e-08
-562.8125,-4.0297513043584e-08,-4.1158231823420456e-08,-4.085513623831897e-08,3.0888899649476485e-08
-563.3125,-4.0974621888950096e-08,-4.126334233280245e-08,-4.132849810259967e-08,3.091025411491451e-08
-563.8125,-4.2470301286812777e-08,-4.109215891212111e-08,-4.150587105316004e-08,3.093161452810129e-08
-564.3125,-4.383643990792114e-08,-4.133529979088055e-08,-4.2007228471722767e-08,3.0952980868682546e-08
-564.8125,-4.389683928849371e-08,-4.106643056746903e-08,-4.2104843482511946e-08,3.097435311631213e-08
-565.3125,-4.510959527209544e-08,-4.134820530742587e-08,-4.2385645069599614e-08,3.0995731250651964e-08
-565.8125,-4.500230689870996e-08,-4.124020277731855e-08,-4.2323157171904716e-08,3.101711525137207e-08
-566.3125,-4.4364139759239326e-08,-4.117222669286741e-08,-4.23032834154788e-08,3.1038505098150587e-08
-566.8125,-4.440228673644305e-08,-4.1282255070747445e-08,-4.210052093419859e-08,3.105990077067376e-08
-567.3125,-4.31172104418926e-08,-4.117066849322345e-08,-4.1808005581535305e-08,3.10813022486359e-08
-567.8125,-4.1828160503883423e-08,-4.1168386312842916e-08,-4.1546649205053844e-08,3.110270951173947e-08
-568.3125,-4.126231367536152e-08,-4.1263588144437996e-08,-4.109593678161076e-08,3.1124122539694984e-08
-568.8125,-3.986915427873384e-08,-4.128861152824569e-08,-4.094424732442379e-08,3.1145541312221085e-08
-569.3125,-3.887415395667004e-08,-4.110964641182114e-08,-4.041820382116e-08,3.1166965809044515e-08
-569.8125,-3.881613876217272e-08,-4.1495364209573036e-08,-4.045961103195588e-08,3.11883960099001e-08
-570.3125,-3.7122571920065716e-08,-4.095002517843346e-08,-3.995337408003961e-08,3.1209831894530805e-08
-570.8125,-3.76145089802554e-08,-4.146858536878359e-08,-4.0265831921039685e-08,3.1231273442687636e-08
-571.3125,-3.77456392143932e-08,-4.10277212231131e-08,-4.0002416698385015e-08,3.125272063412975e-08
-571.8125,-3.8460100308271276e-08,-4.1418146554438135e-08,-4.051196175641738e-08,3.1274173448624395e-08
-572.3125,-3.9204761092435646e-08,-4.110518476530745e-08,-4.056613519116386e-08,3.129563186594689e-08
-572.8125,-4.0583615372611925e-08,-4.1376315495397335e-08,-4.098297114867047e-08,3.13170958658807e-08
-573.3125,-4.104614747120708e-08,-4.122415986481392e-08,-4.13497978982936e-08,3.133856542821736e-08
-573.8125,-4.2544211055144986e-08,-4.1087493333559984e-08,-4.149497678150548e-08,3.136004053275651e-08
-574.3125,-4.407247432936918e-08,-4.1547101436009565e-08,-4.2133578536648685e-08,3.13815211593059e-08
-574.8125,-4.347404362448577e-08,-4.082252825909143e-08,-4.195638886155797e-08,3.1403007287681366e-08
-575.3125,-4.540285015934906e-08,-4.1701867663355566e-08,-4.2626085507425885e-08,3.142449889770686e-08
-575.8125,-4.477421976417937e-08,-4.0917439948285664e-08,-4.215143065786949e-08,3.144599596921443e-08
-576.3125,-4.4854487362045525e-08,-4.150786199178507e-08,-4.255484185342567e-08,3.146749848204422e-08
-576.8125,-4.399141200281128e-08,-4.1093521117596304e-08,-4.193969475077641e-08,3.1489006416044485e-08
-577.3125,-4.315694687647982e-08,-4.1354313877059416e-08,-4.199644740034461e-08,3.1510519751071565e-08
-577.8125,-4.208167895654984e-08,-4.118137486772363e-08,-4.147253022556938e-08,3.153203846698992e-08
-578.3125,-4.149834809680956e-08,-4.1313257015745694e-08,-4.125456291274551e-08,3.1553562543672086e-08
-578.8125,-3.997246900866061e-08,-4.1333611618218296e-08,-4.089426932063853e-08,3.157509196099872e-08
-579.3125,-3.8682624341959684e-08,-4.1168644266071255e-08,-4.0538006668983966e-08,3.1596626698858583e-08
-579.8125,-3.8574541239882466e-08,-4.140980771518113e-08,-4.035846806830213e-08,3.161816673714851e-08
-580.3125,-3.740470060563492e-08,-4.1128155255549525e-08,-4.0133516426993066e-08,3.1639712055773465e-08
-580.8125,-3.7449205412372586e-08,-4.128856236801418e-08,-4.0130319841350126e-08,3.1661262634646495e-08
-581.25,-3.802299952781194e-08,-4.131292940978479e-08,-4.023830281373349e-08,3.168281845368877e-08
-581.75,-3.826141813533522e-08,-4.11984258944318e-08,-4.033441538514748e-08,3.1704379492829526e-08
-582.25,-3.9478942491087416e-08,-4.14429118601692e-08,-4.079541724953069e-08,3.172594573200614e-08
-582.75,-4.0376191184066673e-08,-4.115569645694935e-08,-4.086903150286151e-08,3.1747517151164037e-08
-583.25,-4.155636329130688e-08,-4.1476840503727314e-08,-4.1524750864036766e-08,3.176909373025681e-08
